"","ID","INSEE_COM","CODE_EPCI","INSEE_DEP","INSEE_REG","NOM_COM_M","POPULATION","Nb_Transac","Prixm2_Moy"
"242","COMMUNE_0000002200276547","38284",200059392,"38",84,"ORNACIEUX BALBINS",848,5,1493
"243","COMMUNE_0000002200276550","38560",200068567,"38",84,"VAL DE VIRIEU",1558,10,1505
"244","COMMUNE_0000002200276549","38479",200059392,"38",84,"PORTE DES BONNEVAUX",2011,3,1440
"245","COMMUNE_0000000009760614","13041",200054807,"13",93,"GARDANNE",20407,206,3231
"246","COMMUNE_0000000009759644","13082",200054807,"13",93,"ROGNES",4765,40,3841
"247","COMMUNE_0000000009727339","59220",245900410,"59",32,"FACHES THUMESNIL",17591,264,2170
"248","COMMUNE_0000000009760348","13060",200054807,"13",93,"MEYREUIL",5543,42,4243
"249","COMMUNE_0000000009759408","13084",200054807,"13",93,"ROQUE D ANTHERON",5455,50,3051
"250","COMMUNE_0000000009727333","59648",245900410,"59",32,"WATTIGNIES",14485,184,2082
"251","COMMUNE_0000000009748301","71056",200071579,"71",27,"BRANGES",2364,33,1152
"252","COMMUNE_0000000009748492","71263",200071579,"71",27,"LOUHANS",6349,104,1373
"253","COMMUNE_0000002200276556","39339",200026573,"39",27,"CHASSAL MOLINGES",1137,2,1692
"254","COMMUNE_0000002200276551","39043",200072056,"39",27,"BEAUFORT ORBAGNA",1349,13,1284
"255","COMMUNE_0000002200276555","39258",243900610,"39",27,"GRANDE RIVIERE CHATEAU",630,3,1900
"256","COMMUNE_0000000009760365","34047",243400694,"34",76,"CAMPAGNAN",658,10,1698
"257","COMMUNE_0000000009740136","91533",200017846,"91",11,"SACLAS",1779,31,2186
"258","COMMUNE_0000000009740135","91544",200017846,"91",11,"SAINT CYR LA RIVIERE",517,3,2558
"259","COMMUNE_0000002200276561","42268",244200614,"42",84,"VEZELIN SUR LOIRE",781,11,965
"260","COMMUNE_0000002200276559","41070",200072072,"41",24,"VALLEE DE RONSARD",525,5,1245
"261","COMMUNE_0000002200276560","42245",200065886,"42",84,"VETRE SUR ANZON",549,6,1027
"262","COMMUNE_0000002200276565","46232",200066371,"46",76,"VIGNON EN QUERCY",1028,8,978
"263","COMMUNE_0000002200276564","46083",200066371,"46",76,"CRESSENSAC SARRAZAC",1131,12,1630
"264","COMMUNE_0000002200276566","46263",200039519,"46",76,"BARGUELONNE EN QUERCY",681,5,1558
"265","COMMUNE_0000002200276462","01185",200042935,"01",84,"PLATEAU D HAUTEVILLE",4845,36,1242
"266","COMMUNE_0000000009753824","15054",241500255,"15",84,"CONDAT",1006,10,957
"267","COMMUNE_0000000009750935","01155",200042935,"01",84,"EVOSGES",145,1,684
"268","COMMUNE_0000000009746818","18141",241800507,"18",24,"MEHUN SUR YEVRE",6571,74,1176
"269","COMMUNE_0000000009741380","53182",200083392,"53",52,"PORT BRILLET",1817,31,893
"270","COMMUNE_0000000009753533","38298",200085751,"38",84,"PEAGE DE ROUSSILLON",6652,44,1522
"271","COMMUNE_0000000009731160","76305",200084952,"76",28,"GONFREVILLE L ORCHER",9146,72,2012
"272","COMMUNE_0000000009731159","76341",200084952,"76",28,"HARFLEUR",8409,75,1945
"273","COMMUNE_0000000009750687","01121",200042935,"01",84,"CORLIER",113,NA,NA
"274","COMMUNE_0000000009746579","18096",200033207,"18",24,"FOECY",2084,20,926
"275","COMMUNE_0000000009750689","01012",200042935,"01",84,"ARANC",326,3,854
"276","COMMUNE_0000000009751187","01311",200042935,"01",84,"PREMILLIEU",46,1,1523
